AAA;BBB;CCC;DDD;EEE;FFF;GGG;HHH;III;JJJ;KKK;LLL;MMM;NNN;OOO;PPP;QQQ;RRR;SSS;TTT;VVV;WWW;XXX;YYY;ZZZ
0.014216498;-0.010097906;0.064243027;-0.019312993;0.006335396;-0.010623572;0.006135333;-0.016710459;0.007776773;0.001522397;0.02901236;-0.004419159;-0.00904482;-0.012914231;-0.016094751;-0.003953746;0.011470755;-0.004004217;0.006563982;-0.002672056;0.006509892;-0.005555051;0.015156386;-0.013365945;0.012692302
-0.012924011;0.014938079;-0.008364165;0.015878217;-0.00827325;0.033904232;-0.009856604;0.01138621;-0.010526372;0.00173359;-0.01015974;0.00588733;-0.001801149;0.01697923;-0.011515403;0.032566081;-0.008586583;0.008009021;-0.000833887;-0.005197655;0.000833236;0.001896356;0.000964306;0.000918489;0.005312026
0.006575802;0;0.004747554;0.001175915;0.00787382;0.003208622;0.007508307;0.003244708;0.01294591;-0.034671917;0.024448871;-0.075989361;0.031223173;-0.039218454;0.017044093;-0.001846648;0.018107874;-0.065074467;0.045206234;-0.017957875;-0.008032807;-0.010973025;0.015269966;-0.001549735;0.001226485
-0.007502354;0.012742621;-0.014859677;0.001761466;-0.031928911;0.01788574;-0.017019203;0.016081759;-0.020295629;0.006118496;-0.050478919;-0.003162024;-0.031751427;0.019418081;0.024770693;0.00408869;0.00041889;0.001859308;-0.022930505;0.011686595;-0.010901842;0.000165465;-0.004546893;0.008025657;-0.029037664
0.014534205;-0.005174281;0.010683263;-0.008129463;0.010380461;0.00368556;0.010232773;-0.004593966;-0.002344066;-0.00465671;0.009258351;-0.013367834;0.264738863;-0.011400072;0.006664927;-0.001667137;0.019928423;-0.013445904;0.006311519;-0.007768927;0.003676505;0.001251548;0.008041725;0.003183671;-0.016363533
-0.009088894;0.008942947;-0.018062035;0.008063917;-0.006093831;0.008543054;-0.005635989;0.008172119;-0.002112758;0.008962403;-0.002722775;-0.007992605;-0.010437462;0.005614961;-0.002244044;0.003086051;-0.072816859;-0.031882151;0.00218447;-0.008226907;0.001303377;-0.000692463;0.000488684;0.002440634;0.000182877
0.010416801;0.002417721;0.009627442;-0.009030255;-0.004733765;0.001045684;-0.004665061;-0.005102112;-0.002508247;0.005461796;0.001822635;0.0059434;-0.033351034;0.005996155;-0.005892359;0.006770837;-0.028346084;0.019609544;-0.027667337;0.009738157;0;-0.006048249;0.005825426;0.001091983;0.002419373
0.003385519;-0.001245582;-0.001529413;0.004556665;0.005867601;0.002272203;0.009400244;-0.0060534;0.002788429;-0.000260682;0.010223995;-0.000812858;-0.026988129;-0.008683939;0.007890954;-0.00483729;-0.003443449;-0.009911057;-0.004273548;-0.014868619;0.003242693;-0.000945668;0.00238358;-0.002372129;-0.019351032
0.014939954;-0.018503952;0.00182199;0.001682404;0.00719975;-0.004438842;-0.005260175;-0.034926125;0.00302517;-0.007847888;0.025005895;-0.017969933;0.024859006;-0.017661074;-0.009211368;-0.007643198;0.008271996;-0.021192994;0.008192726;0.008114524;0.001441861;0.002316486;0.001066417;0.003879032;-0.004252471
0.007341771;-0.016677834;0.019901358;-0.00843493;0.009272853;-0.020043207;0.009822384;-0.018542229;0.004005488;-0.022123222;-0.000728503;-0.007306359;0.010974773;-0.019162505;0.005430107;-0.008658958;0.017356149;-0.041692129;0.009527893;0.004743508;0.009011419;-0.008503792;0.014690889;-0.012079664;0.004660237
-0.002794805;-0.01721863;0.030627258;0.00159452;0.002019787;-0.003691354;-0.00307265;-0.007825113;-0.006190189;0.024512817;-0.010641498;0.004924318;-0.013544128;0.013412394;-0.012288119;0.002712572;0.010771023;0.066492666;0.011444357;0.000632518;0.002761612;-0.008607345;-0.002124212;-0.00670354;0.002469034
-0.029320954;0.003166105;-0.108271;0.012163476;0.011214089;0.006727155;-0.000473435;0.004086995;-0.011836461;0.004511608;-0.009556161;0.012901881;0.015005746;0.008876879;-0.007553389;-0.002918188;-0.000489668;-0.006774223;-0.00726526;-0.000322831;-0.001620624;0.002246803;0.010939968;0.007568638;0.004757004
-0.052919556;0.010807499;-0.031374868;0.019379034;-0.031986318;0.015671913;-0.018348876;0.003126106;-0.014411402;0.029588591;-0.010896263;0.009633696;-0.025969941;0.03087029;0.000220546;0.006180993;-0.013457046;0.012073023;-0.006797056;0.011836063;0.007619433;0.006041449;-0.009197298;-0.000266064;-0.036713616
0.003220151;-0.001567796;0.01165754;-0.011398534;0.000513561;-0.001964515;0.004399157;-0.011709336;-0.006074237;-0.014053317;0;0.002414089;0.009165942;8.49E-05;0.00215547;-0.005822;0.000585321;0.017384407;-0.008839821;-0.002615898;-0.006058077;-0.002441607;-0.001658907;0.000940152;-0.003232942
-0.008047073;0.002913877;0.012840106;0.010843632;-0.003309373;0.002986603;-0.011215892;-0.024098493;-0.016240126;-0.003739416;0.022329707;-0.021625188;0.006955564;-0.01749553;0.001746055;-0.00721736;-0.00030201;-0.011976352;0.008093047;-0.001666158;-0.005234805;0.002022594;-0.009596955;0.053677064;0.003547765
0.006393204;-0.012557818;-0.018608532;-0.015241728;0.065746765;-0.027530274;0.019550866;-0.016397818;0.031346317;-0.00098772;-0.008342733;-0.00419583;-0.000393478;-0.008409992;-0.001230824;-0.000531682;0.005675644;-0.014959065;-0.005819453;-0.006048932;0.007593088;0;-0.002605939;0.008460896;-0.008035647
0.006378678;0.003774259;0.032124658;-0.015383618;0.024047413;-0.010250335;0.021002199;-0.023133675;0.008273345;-0.009157252;0.012242923;-0.00533305;0.009832694;-0.005442703;0.02357866;-0.01182383;0.012261287;-0.005303218;0.018722914;-0.007466795;0.002722586;0.00367339;0.007687222;-0.010509982;-0.010156261
0.014305029;-0.025133051;0.00146465;-0.00087567;0.011029525;-0.026482878;0.009489975;-0.020708449;0.007077534;-0.004433462;0.084290963;-0.00357058;0.00557893;-0.046310689;0.001887242;-0.011371981;0.002643444;-0.038805938;-0.00207802;-0.006983021;0.00477357;0.009381523;0;-0.006574014;0.002862048
0.080136613;0.033402194;-0.004140886;-0.03131589;-0.024371057;0.036600573;-0.019530154;0.019757291;-0.021702555;0.022718484;0.019247862;0.04483926;-0.017532505;0.03170808;-0.017395902;0.006281151;-0.017530923;0.013251344;-0.014401296;0.021762242;-0.000757341;0.014245822;-0.005966044;0.022034754;0.002962757
-0.030450573;-0.005906025;0.001119747;-0.006358632;-0.023729712;0.010480914;-0.009396553;0.008166998;-0.020146153;-0.003610969;-0.044926408;0.011685199;-0.012488066;0.001132441;-0.001396284;0.000754598;-0.00608424;0.004019517;0.000123259;0.004785946;-0.021203846;0.002893532;-0.007910993;-0.000380736;-0.009650181
0.003108283;0.004998806;-0.024210973;0.000896244;-0.009496657;0.022614946;-0.007767302;0.014315272;-0.001825969;0.020011359;-0.004263357;0.002007007;-0.009089581;0.019510293;-0.009205116;0.004491917;-0.039997458;-0.023016655;-0.003237738;0.003482919;-0.028256155;0.009356599;-0.002943816;0.005775274;-0.000825143
0.001596115;-0.002062277;-0.010145134;0.013566769;0.002786315;-0.001681401;0.002793779;-0.007116872;-0.001439417;0.009423993;0.001426072;-0.008707145;-0.002288042;-0.002033742;-0.005899227;0.014698587;-0.008578551;0.006921152;0.003335032;-0.005861716;0.000986311;-0.003980386;0.001436249;-0.003954147;-0.000812803
0.022689885;0.000181337;0.000277922;-0.011287342;0.013269609;-0.011134538;0.007035379;-0.005615994;0.009230365;-0.005330319;0.00519433;-0.00918972;0.002979672;-0.001150753;-0.005558742;-0.030692616;-0.004573473;-0.019106725;0.012453528;-0.008909136;0.003457076;-0.002006811;0.008074559;-0.002751963;0.01345083
-0.000705892;-0.008500474;0.011218663;0.003129633;0.000638351;-0.002463082;0.008468712;-0.000736155;0.012890117;0.000966537;0.008371424;-0.002530651;0.002401174;-0.003832637;0.009627402;0.002671471;0.010548602;-0.012246077;0.035558755;0.000277406;-0.00643849;-0.005109873;0.05036724;-0.006210431;0.027911985
0.006850038;-0.00025128;0.00357538;-0.00548946;0.000808963;-0.000611757;0.003565404;-0.0186258;0.007662308;0.007951891;0.070346835;-0.020817152;0.007552828;-0.003771508;0.016774728;-0.006049155;-0.007949872;-0.003726501;0.014887866;-0.015029527;0.004538282;-0.00554181;0.036088458;0.018695891;-0.026905537
0.003672218;-0.011039678;0.011749944;-0.011586785;0.003161151;-0.030377269;0.002870917;-0.009394046;0.012932829;-0.01643967;-0.008270053;-0.008755345;0.006493625;-0.010900779;0.008748517;0.006798648;0.012876373;-0.025166867;0.004182746;-0.010790235;0.003381808;-0.013028278;0.003619861;0.005883434;0.009385515
0.003567873;-0.021402721;0.001896419;0.001239992;-0.003229053;0.008246033;0.003144621;-0.000116614;-0.002782145;0.009914335;-0.005759152;0.00116705;-0.010606927;0.012024327;-0.004974843;0.01902107;-0.013925182;0.011372895;0.004350464;0.007504379;-0.008286678;-0.001605986;0.001240312;0.002921764;-0.000406973
-0.005943059;-0.001775794;-0.002733417;0.007219199;-0.01829634;0.033494211;-0.014496967;0.022932433;-0.018875131;0.000605549;-0.005312831;0.006736324;0.010990731;0.004851978;-0.00209398;0.003068992;-0.005136845;0.006904884;0.032839217;-0.002923846;-0.007022459;-0.000158067;-0.003348241;0.010093118;-0.003229994
-0.015101388;-0.005912079;-0.013926485;0.006945182;-0.022062558;0.000411021;-0.017428933;0.015980426;-0.008259847;0.003966556;-0.013795504;0.005456953;-0.004104835;0.010835424;-0.002057144;-0.000542941;-0.013190419;0.012132941;-0.015935316;-0.000581165;-0.001775358;-0.009927515;-0.002149335;0.010915259;-0.006784652
-0.008187162;0.001252754;0.00461466;0.012446268;-0.003212357;-0.00212119;0.004515845;0.013752365;0.005327206;0.003726282;0.020203302;0.00532003;-0.000734181;-0.002486573;0.000186189;0.000959563;0.001628951;-0.025121607;-0.010760509;-0.001923345;0.000698197;-0.004009259;0.002371129;0.025611331;-0.006946471
-0.005044268;-0.009995671;0.006731412;0.007134402;-0.001052505;0.008013537;0.004832732;-0.018289738;-0.012487929;-0.00357313;-0.006251673;-0.014573122;-0.006699964;-0.002509145;-0.000622783;0.003066948;-0.000513121;0.010946302;-0.007644973;-0.004712242;-0.005829189;-0.000674419;-0.002224858;0.007392875;0.001503691
-0.010133906;0.01942581;0.001066804;0.002836563;0.000466798;0.00151563;0;-0.001462935;0.001186551;0.00122732;0.006594245;-0.000178341;0.010847398;0.004530114;0.001009013;0.002232184;0.00494663;-0.00861878;-0.002755496;-0.015803167;0.007898799;0.000549707;0.012368004;-0.004455065;-0.001330282
-0.008380502;0.003757942;-0.009293292;-0.006643945;-0.005652009;0.004482713;-0.012905776;0.013474887;-0.003997532;0.004899984;0.012994297;0.009571764;-0.000425813;0.018313497;-0.000819624;-0.004339591;-0.011886706;0.002034764;0.003788396;0.008522233;0.000201154;0.002241553;-0.008857583;0.01211036;-0.002910106
-0.005157241;0.014707492;-0.006484988;0.008903063;0.003687413;0.00890892;-0.002782765;0.012436252;-0.010670563;0.006001298;0.001101193;0.001605865;-0.006462577;-0.003244361;-0.001332913;0.000507429;-0.001304186;0.018083092;-0.00262215;-0.002405339;-0.003789031;0.008292204;-0.001850138;0.002716305;0.001819572
-0.002548148;0.00609864;0.005887679;-0.005368081;-0.000848154;-0.008296455;-0.004943478;0.007160176;0.011893476;-0.010172657;-0.026401765;-0.00037565;0.004681822;-0.009426052;-0.000995772;-0.003845251;-0.003265768;-0.01919257;0.021431733;0.000243208;0.003673989;-0.020440645;-0.004551787;-0.003208517;0.006646472
-0.019547023;0.006805099;-0.004901461;0.008061834;0.002500486;-0.003704825;-0.003391009;0.008428956;0.014820798;0.001293215;-0.0065625;0.000408426;-0.010587311;0.004977742;0.003518677;0.010127772;-0.002948485;-0.005159031;-0.009044437;-0.006655594;-0.005162555;0.006839415;0;0.006798725;0.006741846
0.001820386;0.009742795;-0.006705436;0.013173029;-0.001955385;0.002481226;-0.007773576;0.0691314;0.01091555;0.012011712;-0.001057447;0.000454902;0.011440372;-0.011276734;-0.002186352;-0.005273221;0.014609718;0.000754864;-0.009924174;0.001714077;-0.010381302;0.000292108;0.003733822;0.003414301;-0.015404939
-0.005875861;0.012235813;-0.009485981;-0.005773683;-0.00231407;0.004283667;0.000991188;0.013566476;-0.005792015;-0.000818259;-0.013304554;0.01556616;-0.005462611;0.00581475;0.002338586;-0.011325191;-0.00262815;0.052111359;0.001543793;-0.001706997;0.000841629;-0.001508288;-0.001912461;0.016720661;-0.003101845
0.013168597;-0.006740237;0.006973375;-0.028173805;0.000627065;-0.01658465;0.005416657;0.016416772;0.022065967;-0.013794022;0.024128918;-0.029873648;0.000288796;-0.009198857;0.010472337;0.002248991;0.02440518;-0.010285249;0.011576817;-0.000439493;0.002119675;0.006130797;-0.002281826;-0.002995923;0.017790853
0.00184606;-0.001053411;0.012777301;0.001945892;0.00932253;-0.010496166;0.011097105;-0.010802724;-0.000794675;-0.00622901;0.022375883;0.005042649;0.007290083;-0.017370346;0.004616605;-0.009067997;0.012521307;-0.018935119;0.013384756;-0.003415588;0.004510818;-0.001977455;-0.000504359;0.00299051;0.006645777
0.003378206;0.01010307;0.01286489;-0.000431652;0.003494756;0.006990151;0.021358592;-0.028793062;-0.000402114;-0.009379086;0.035761377;-0.000327481;0.009895883;-0.010533155;0.014777369;0.003526722;0.016781227;-0.018344109;-0.006045528;-0.008728703;0.008220131;0.00639035;-0.020665005;-0.011968337;0.000873338
0.007421266;-0.00421171;-0.002190735;-0.002310708;0.000649332;-0.020911751;0.006137791;-0.007369582;-0.006432372;-0.007452181;0.006712528;-0.003859569;-0.019305516;-0.002842246;0.002938764;-0.002176963;0.001223591;0.015517902;0.003855178;-0.008069202;0;0.001755482;-0.003612498;0.002719957;0.004084856
-0.012572262;0.018307918;-0.026915559;0.009173652;-0.010945432;0.016791498;-0.012562874;0.010854519;-0.010065197;0.019980297;0.007539627;-0.001703176;-0.017122253;0.009692145;-0.00602121;0.008519007;-0.013114839;0.00583128;0.017506674;0.008089389;-0.009611941;0.000785072;-0.022102408;-0.009593447;-0.008539268
0.004441812;-0.003462905;0.012778754;0.00114708;-0.012665369;0.001287065;-0.003309771;0.007917229;0.01570588;0.008212771;0.000528323;0.002966263;0.008357161;0.003987355;0.002886528;0.011354353;0.009870716;-0.009296813;0.003600399;0.001961252;0.004284393;-0.004349524;0.006006134;-0.009205408;0.016004063
0.029757514;-0.022075299;0.016462003;-0.015360971;0.023762447;0.0156787;0.017107285;-0.016600938;0.038948024;-0.003192475;-0.001871137;-0.003527263;0.012841857;-0.014284416;0.011527775;0.00091604;0.01421431;0.025406954;0.003053577;-0.006125038;0.021200985;-0.007116126;0.010368644;-0.003364323;0.030787484
