Apple;Google;Microsoft;3M;Abbott;Amazon;IBM;Ebay;Nike;GlaxoSmithKline;J&J;Pfizer;Yahoo;Pepsi
0.021952917;0.03296296;-0.001675951;-0.003969085;0.01881301;0.005154676;0.010635145;0.045992628;0.0101865;0.01676995;0.012422535;0.003417433;0.047282882;0.006832488
-0.007146665;0.008099358;-0.005719107;-0.006822438;0;-0.013718424;-0.009094223;-0.025975486;0.001620294;-0.013986279;-0.009114743;-0.003037208;0.032609594;-0.003172104
0.004926154;-0.007437382;0.009736555;0.002193382;0.003600507;-0.022934945;0.015077751;-0.035718116;-0.003040162;-0.024386859;-0.001652535;-0.005337375;0.006467863;0.002221502
0.07979971;0.003962487;0.001001803;0.001159323;0.008747936;0.007438903;0.011760682;0.001682086;0.012406261;0.000189841;-0.003765915;0.00038219;-0.012252406;0.004112597
0.0467458;0.008123472;-0.010063789;0.002186049;-0.002576795;-0.016816011;-0.01186183;-0.015241616;0;0.001138558;-0.001661506;0.001145732;0.039806285;0.012549247
-0.012448231;0.020745186;0.03446335;0.010223782;-0.000794045;0.006706933;-0.002429858;0.031247261;0.002202875;0.006427243;0.008729751;0.009874672;0.017271586;0.012393575
-0.012393814;0.01051049;0.016475837;0.008986821;0.00198411;0.021164784;0.006970017;-0.007637394;-0.002202875;0.01273187;-0.001349689;0.006779687;0.008525201;-0.003856542
0.025872463;-0.001426767;-0.001603303;0.002516953;0.00316654;0.011969932;0.014788479;0.001332479;0.00210283;0.014590729;-0.001501697;0.004868049;-0.005447749;0.002315725
-0.022390959;-0.013978394;-0.001927402;-0.008203416;0.018402943;-0.020382179;-0.007966613;-0.003000536;-0.001501587;0.012571888;0.004947195;0.004472576;-0.008227746;0.00231039
-0.063927795;-0.019186248;-0.003220615;-0.001268146;0.023769475;-0.024046069;-0.005715161;-0.014800136;-0.001503855;0.009371126;0.012483384;0.01035899;-0.032537346;-0.001231558
-0.006420025;0.003928035;0.003542139;0.005567546;0.013733856;0.001081081;-0.033537537;0.005070148;0.002705317;0.003581042;0.000738215;0.001838537;-0.01721714;-0.001541514
-0.019511213;-0.018360445;-0.012615467;-0.00963621;-0.003743942;-0.001892633;0.009726929;-0.011529494;-0.022668498;-0.006455124;-0.008596496;-0.009968626;-0.007991289;-0.000154316
-0.012638559;-0.003729617;0.000650862;0.004576085;0.00112435;-0.014173063;-0.000308965;-0.024164035;-0.009667822;-0.000179869;-0.010173637;-0.021756296;-0.016918425;0.000462754
0.011601093;0.040941412;0.011321486;0.008083914;0.003179862;0.0225277;0.00329083;0.047091574;0.000826384;0.000899182;0.007639944;0.01692084;0.070870507;0.005536788
-0.005203874;-0.022246545;-0.020800197;-0.00605675;-0.018089939;-0.004842517;0.001128726;0.078503095;-0.010379998;-0.014120492;-0.004936834;-0.01730013;-0.025548266;-0.01203531
-0.010138175;0.015753436;0.004913982;-0.004058344;-0.000760815;-0.00622223;-0.000615562;-0.024962295;-0.006700182;-0.004385116;-0.009190272;-0.002659071;-0.006044392;0.00046557
0.006537497;-0.006819762;-0.002290169;0.003425274;0.002091154;0.015616958;0.011123172;0.010997754;0.011696071;-0.001649428;0.001210135;-0.008787143;-0.00608122;0.002324697
-0.004548331;0.003749572;-0.001639109;-0.05546133;0.010014075;-0.010204197;0.00838772;0.002808552;0.014737217;0.001466239;0.003621507;0.001533781;0.00608122;0.007556486
0.002101799;0.014420546;0.012390149;-0.00536906;-0.003578404;0.016595644;-0.002216412;0.009305216;0.010785595;-0.008645267;0.006156698;0.00534965;0.009582966;0.002301881
-0.011615113;-0.040178341;-0.009768948;-0.00418107;-0.002455694;0.026975657;-0.001514025;-0.007437221;0.018748376;0.010657911;0.003138766;0.014377886;0.001411966;0.002143608
0.000118001;-0.00051905;-0.012181155;-0.00162309;-0.003789983;-0.034436364;0.001715679;0.007745972;-0.004779012;0.019906593;-0.00643763;0.006739;0.014706147;-0.005213875
-0.009603465;-0.030234459;-0.019398601;0.000811867;-0.003233019;-0.006170348;0.012127425;-0.00464038;-0.007814878;-0.012077695;-0.00421432;0.002980628;-0.007326075;-0.003233991
0.002498639;0.009204929;-0.003382987;0.004588362;-0.000762177;0.029433385;-0.005293915;0.018433641;0.01744897;0.007588148;-0.0045352;-0.001861814;0.027285444;-0.006810164
0.023489101;-0.003122773;-0.00475541;0.005103489;-0.000190678;0.018382395;-0.003109456;0.015705519;0.016955412;-0.003786913;-0.003034858;-0.011621499;0.018231397;0.001706898
0.000348181;0.002167846;-0.003752384;-0.000134008;-0.005928047;0.003073722;0.000803394;0.006273479;0.004750574;0.008813835;-0.000608103;-0.003021113;0.006336556;-0.018621913
-0.034349791;-0.019595011;-0.009615459;-0.001340636;0.002490416;-0.009766128;-0.010798914;-0.002086869;0.002029075;0.009624045;-0.002436116;-0.002271943;-0.011367558;0.009432533
0.019150118;-0.007824578;-0.001381181;0.000670489;0.008572304;0.003351737;0.000304358;-0.021415358;0.007404996;0.006364961;-0.002136412;-0.006083669;-0.019352157;-0.002977343
-0.002122857;0.001765883;0.002415842;0.024368893;-0.000189737;0.01177094;-0.002946119;0.002436146;0.007920965;0.018855272;-0.001222898;0.006462672;0.013281278;0.001411433
0.007058853;0.01476731;0.013354076;0.005349997;-0.000189849;0.020894354;0.009215681;0.017784885;0.001709565;0.009467305;0.007163042;0.007173941;0.036536811;-0.007235058
-0.00105568;-0.009618326;0.002038703;0.000910673;0.001895794;-0.001994963;-0.002826562;0.005660703;0.001232918;-0.012411761;-0.000911532;-0.001882847;0.019060503;0.011457459
